Index,Date,Month,Day,Time,Value
0,2014-01-07 10:00:00,Jan,Tue,10:00:00,40
1,2014-01-07 10:15:00,Jan,Tue,10:15:00,85
2,2014-01-07 10:30:00,Jan,Tue,10:30:00,110
3,2014-01-07 10:45:00,Jan,Tue,10:45:00,21
4,2014-01-07 11:00:00,Jan,Tue,11:00:00,38
5,2014-01-07 11:15:00,Jan,Tue,11:15:00,131
6,2014-01-07 11:30:00,Jan,Tue,11:30:00,65
7,2014-01-07 11:45:00,Jan,Tue,11:45:00,76
8,2014-01-07 12:00:00,Jan,Tue,12:00:00,111
9,2014-01-07 12:15:00,Jan,Tue,12:15:00,94
10,2014-01-07 12:30:00,Jan,Tue,12:30:00,99
11,2014-01-07 12:45:00,Jan,Tue,12:45:00,69
12,2014-01-07 13:00:00,Jan,Tue,13:00:00,89
13,2014-01-07 13:15:00,Jan,Tue,13:15:00,83
14,2014-01-07 13:30:00,Jan,Tue,13:30:00,63
15,2014-01-07 13:45:00,Jan,Tue,13:45:00,77
16,2014-01-07 14:00:00,Jan,Tue,14:00:00,94
17,2014-01-07 14:15:00,Jan,Tue,14:15:00,99
18,2014-01-07 14:30:00,Jan,Tue,14:30:00,91
19,2014-01-07 14:45:00,Jan,Tue,14:45:00,75
20,2014-01-07 15:00:00,Jan,Tue,15:00:00,74
21,2014-01-07 15:15:00,Jan,Tue,15:15:00,89
22,2014-01-07 15:30:00,Jan,Tue,15:30:00,102
23,2014-01-07 15:45:00,Jan,Tue,15:45:00,115
24,2014-01-07 16:00:00,Jan,Tue,16:00:00,102
25,2014-01-07 16:15:00,Jan,Tue,16:15:00,126
26,2014-01-07 16:30:00,Jan,Tue,16:30:00,131
27,2014-01-07 16:45:00,Jan,Tue,16:45:00,140
28,2014-01-07 17:00:00,Jan,Tue,17:00:00,79
29,2014-01-07 17:15:00,Jan,Tue,17:15:00,121
30,2014-01-07 17:30:00,Jan,Tue,17:30:00,141
31,2014-01-07 17:45:00,Jan,Tue,17:45:00,110
